Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
30-01-2023,Goal,Visual,0,0,0,2
30-01-2023,Streak,Visual,0.260869565,0,6,23
30-01-2023,Collection,Visual,0.027027027,0,2,74
30-01-2023,Course Certificate,Visual,0.203389831,1,12,59
30-01-2023,Career Track Certificate,Visual,0,0,0,1
31-01-2023,Text Post,Text Post,1,1,1,1
31-01-2023,Level,Visual,0,0,0,145
31-01-2023,Streak,Visual,0.194444444,0,7,36
31-01-2023,Collection,Visual,0,0,0,75
31-01-2023,Course Certificate,Visual,0.194029851,1,13,67
31-01-2023,Career Track Certificate,Visual,0.5,0,1,2
01-02-2023,Level,Visual,0.006711409,0,1,149
01-02-2023,Streak,Visual,0.181818182,0,4,22
01-02-2023,Collection,Visual,0,0,0,57
01-02-2023,Course Certificate,Visual,0.225806452,0,14,62
01-02-2023,Career Track Certificate,Visual,0,0,0,1
02-02-2023,Text Post,Text Post,1,0,1,1
02-02-2023,Level,Visual,0.029629630,0,4,135
02-02-2023,Streak,Visual,0.185185185,0,5,27
02-02-2023,Collection,Visual,0.044776119,0,3,67
02-02-2023,Course Certificate,Visual,0.122448980,0,6,49
03-02-2023,Level,Visual,0.042016807,1,5,119
03-02-2023,Streak,Visual,0.114285714,0,4,35
03-02-2023,Collection,Visual,0,0,0,43
03-02-2023,Course Certificate,Visual,0.142857143,0,5,35
03-02-2023,Career Track Certificate,Visual,1,1,1,1
04-02-2023,Level,Visual,0.037383178,1,4,107
04-02-2023,Goal,Visual,0.375,0,3,8
04-02-2023,Streak,Visual,0.181818182,0,6,33
04-02-2023,Collection,Visual,0,0,0,42
04-02-2023,Course Certificate,Visual,0.179487179,0,7,39
05-02-2023,Level,Visual,0.033057851,0,4,121
05-02-2023,Goal,Visual,0.453333333,0,34,75
05-02-2023,Streak,Visual,0.045454545,0,1,22
05-02-2023,Collection,Visual,0.040816327,0,2,49
05-02-2023,Course Certificate,Visual,0.140625,0,9,64
06-02-2023,Text Post,Text Post,1,0,1,1
06-02-2023,Level,Visual,0.033613445,0,4,119
